Switch 2,Switch 1
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=73 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=58 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=47 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=23 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=20 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=77 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=22 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=64 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=24 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=75 |>, <SwitchTrace  swid=1 qdepth=24 qtdelta=295405 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=81 |>, <SwitchTrace  swid=1 qdepth=63 qtdelta=822241 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=78 |>, <SwitchTrace  swid=1 qdepth=40 qtdelta=725132 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=2 qtdelta=512427 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=31 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=46 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=68 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=57 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=60 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=70 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=77 |>] |>
